SystemSize,GroundStateEnergy,ExcitedStateEnergy_1,ExcitedStateEnergy_2,ExcitedStateEnergy_3,ExcitedStateEnergy_4
2.0,-1.9999999999999982,-1.0000000000000002,-0.9999999999999998,-0.9999999999999998,0.9999999999997009
6.0,-7.370274969424608,-7.06248940983413,-7.062489409991887,-7.062489410772557,-6.018533397445044
10.0,-12.894560129682416,-12.7562291945356,-12.756229194321499,-12.756229194411487,-11.990726105578961
14.0,-18.45985265514992,-18.390687458482923,-18.390687457951422,-18.390687455400897,-17.751876788712718
18.0,-24.04387951925251,-24.00815191718082,-24.008151880248636,-24.008151899265773,-23.43884844265815
22.0,-29.63788958750384,-29.619300989360823,-29.619300988125634,-29.619300784259703,-29.092419880764492
26.0,-35.23740327669359,-35.227740890270994,-35.2277405812158,-35.22774077455558,-34.728646902608645
30.0,-40.839928269775314,-40.83491934043254,-40.83491933320125,-40.83491852097523,-40.35497167081478
34.0,-46.44407280923195,-46.44148275828374,-46.441482394852045,-46.44148202295771,-45.97524483040641
38.0,-52.04907507260873,-52.047738615434085,-52.04773717652582,-52.0477383655019,-51.59161760064575
42.0,-57.654526654766904,-57.65383853383191,-57.65383639441356,-57.653838429839496,-57.205379344617704
