SystemSize,EntanglementEntropy
2,0.41649553069968737
4,0.5993172151992139
6,0.6678836655709645
8,0.6885976458496149
10,0.6941574392766977
12,0.6955849740092924
14,0.6959460001033272
16,0.6960366415672992
18,0.6960531290467236
20,0.0029214023391908785
22,0.002920265089644185
24,0.0029201863054425094
26,0.002920175828744733
28,0.0029201743899506588
30,0.002920174041855207
32,0.0029201739574662303
34,0.0029201739369758466
36,0.0029201739319890466
38,0.002920173930779719
40,0.002920173930485369
42,0.0029201739304162656
44,0.0029201739303960582
46,0.002920173930390751
48,0.0029201739303902977
50,0.0029201739303932697
